,DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,Device Type,DV_TRAVEL_DISTANCE (in feet),DV_SPEED_FPS,DV_CAPACITY_LBS,DV_FLOOR_FROM,DV_FLOOR_TO,DV_COVERED,,,
0,,,,,,,,,,,,,
1,1P16835,A,ACTIVE,Passenger Elevator (P),108,10,2000,-5,18,23,,,
2,1P24368,A,ACTIVE,Passenger Elevator (P),1,2.5,3500,-5,1,6,,AVGSpeed=6.08 Feet per second,AverageDist=15.6 Feet
3,1P24371,A,ACTIVE,Passenger Elevator (P),2,2.5,8000,-5,1,6,,STD Dev = 4.988,
4,1P24372,A,ACTIVE,Passenger Elevator (P),3,2.5,8000,-5,1,6,,,
5,1P24370,A,ACTIVE,Passenger Elevator (P),4,3.333333333,8000,-5,1,6,,,
6,1P24366,A,ACTIVE,Passenger Elevator (P),4,1.666666667,3500,-5,60,65,,,
7,1P24365,A,ACTIVE,Passenger Elevator (P),4,20,3500,-5,60,65,,,
8,1P24367,A,ACTIVE,Passenger Elevator (P),5,2.5,5000,-5,61,66,,,
9,1P20667,A,ACTIVE,Passenger Elevator (P),6,11.66666667,3850,-4,1,5,,,
10,1P11185,A,ACTIVE,Passenger Elevator (P),6,1.666666667,3000,-3,35,38,,,
11,1P11186,A,ACTIVE,Passenger Elevator (P),6,1.666666667,3000,-3,35,38,,,
12,1P12001,A,ACTIVE,Passenger Elevator (P),6,6.666666667,2000,-3,8,11,,,
13,1P19623,A,ACTIVE,Passenger Elevator (P),6,5,3000,-3,13,16,,,
14,1P19624,A,ACTIVE,Passenger Elevator (P),7,6.666666667,3000,-3,13,16,,,
15,1P19625,A,ACTIVE,Passenger Elevator (P),7,6.666666667,3000,-3,13,16,,,
16,1P19620,A,ACTIVE,Passenger Elevator (P),7,10,3000,-3,13,16,,,
17,1P19621,A,ACTIVE,Passenger Elevator (P),7,10,3000,-3,13,16,,,
18,1P19622,A,ACTIVE,Passenger Elevator (P),7,10,3000,-3,13,16,,,
19,1P18521,A,ACTIVE,Passenger Elevator (P),7,8.333333333,2000,-3,16,19,,,
20,1P11160,A,ACTIVE,Passenger Elevator (P),7,3.333333333,4200,-3,19,22,,,
21,1P13476,A,ACTIVE,Passenger Elevator (P),7,5,3000,-3,25,28,,,
22,1P15752,A,ACTIVE,Passenger Elevator (P),7,8.333333333,2200,-3,26,29,,,
23,1P15753,A,ACTIVE,Passenger Elevator (P),7,8.333333333,2200,-3,26,29,,,
24,1P22538,A,ACTIVE,Passenger Elevator (P),8,16.66666667,4000,-3,29,32,,,
25,1P13244,A,ACTIVE,Passenger Elevator (P),8,3.333333333,4000,-3,2,5,,,
26,1P1499,A,ACTIVE,Passenger Elevator (P),8,10,2000,-3,5,8,,,
27,1P106,A,ACTIVE,Passenger Elevator (P),8,1.666666667,2000,-3,8,11,,,
28,1P107,A,ACTIVE,Passenger Elevator (P),8,2.5,2000,-3,8,11,,,
29,1P13243,A,ACTIVE,Passenger Elevator (P),8,4.166666667,3700,-3,9,12,,,
30,1P13241,A,ACTIVE,Passenger Elevator (P),8,4.166666667,3700,-3,19,22,,,
31,1P11155,A,ACTIVE,Passenger Elevator (P),8,2.5,2500,-3,26,29,,,
32,1P16837,A,ACTIVE,Passenger Elevator (P),8,10,2000,-2,13,15,,,
33,1P19762,A,ACTIVE,Passenger Elevator (P),8,8.333333333,6000,-2,12,14,,,
34,1P19773,A,ACTIVE,Passenger Elevator (P),9,8.333333333,2000,-2,12,14,,,
35,1P19774,A,ACTIVE,Passenger Elevator (P),9,8.333333333,2000,-2,12,14,,,
36,1P18916,A,ACTIVE,Passenger Elevator (P),9,4.166666667,4000,-2,14,16,,,
37,1P18917,A,ACTIVE,Passenger Elevator (P),9,5,6000,-2,14,16,,,
38,1P19524,A,ACTIVE,Passenger Elevator (P),9,5.833333333,1500,-2,20,22,,,
39,1P19519,A,ACTIVE,Passenger Elevator (P),9,8.333333333,3000,-2,20,22,,,
40,1P19525,A,ACTIVE,Passenger Elevator (P),9,11.66666667,1500,-2,20,22,,,
41,1P19636,A,ACTIVE,Passenger Elevator (P),9,5,3500,-2,27,29,,,
42,1P19632,A,ACTIVE,Passenger Elevator (P),9,5.833333333,3500,-2,27,29,,,
43,1P19633,A,ACTIVE,Passenger Elevator (P),9,5.833333333,3500,-2,27,29,,,
44,1P19637,A,ACTIVE,Passenger Elevator (P),9,5.833333333,3500,-2,27,29,,,
45,1P19634,A,ACTIVE,Passenger Elevator (P),9,8.333333333,3500,-2,27,29,,,
46,1P19635,A,ACTIVE,Passenger Elevator (P),9,8.333333333,3500,-2,27,29,,,
47,1P18110,A,ACTIVE,Passenger Elevator (P),9,0.5,3000,-2,33,35,,,
48,1P22609,A,ACTIVE,Passenger Elevator (P),9,1.666666667,4000,-2,3,5,,,
49,1P1569,A,ACTIVE,Passenger Elevator (P),9,8.333333333,2000,-2,5,7,,,
50,1P24200,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-2,17,19,,,
51,1P24202,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-2,17,19,,,
52,1P12272,A,ACTIVE,Passenger Elevator (P),10,2.5,2000,-2,5,7,,,
53,1P13420,A,ACTIVE,Passenger Elevator (P),10,5.833333333,3000,-2,5,7,,,
54,1P10573,A,ACTIVE,Passenger Elevator (P),10,0.666666667,2000,-1,1,2,,,
55,1P22610,A,ACTIVE,Passenger Elevator (P),10,1.666666667,4000,-1,2,3,,,
56,1P2108,A,ACTIVE,Passenger Elevator (P),10,6.666666667,3500,-1,4,5,,,
57,1P10739,A,ACTIVE,Passenger Elevator (P),10,0.05,1000,-1,5,6,,,
58,1P21368,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-1,5,6,,,
59,1P2329,A,ACTIVE,Passenger Elevator (P),10,1.666666667,3000,-1,5,6,,,
60,1P10313,A,ACTIVE,Passenger Elevator (P),10,3.333333333,1500,-1,5,6,,,
61,1P1739,A,ACTIVE,Passenger Elevator (P),10,10,1000,-1,5,6,,,
62,1P23340,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-1,6,7,,,
63,1P10214,A,ACTIVE,Passenger Elevator (P),10,2.083333333,2000,-1,6,7,,,
64,1P2277,A,ACTIVE,Passenger Elevator (P),10,3.333333333,3000,-1,6,7,,,
65,1P25440,A,ACTIVE,Passenger Elevator (P),10,3.333333333,1500,-1,6,7,,,
66,1P13529,A,ACTIVE,Passenger Elevator (P),10,5.833333333,2500,-1,6,7,,,
67,1P13792,A,ACTIVE,Passenger Elevator (P),10,8.333333333,2000,-1,6,7,,,
68,1P15160,A,ACTIVE,Passenger Elevator (P),10,11.66666667,2000,-1,6,7,,,
69,1P15557,A,ACTIVE,Passenger Elevator (P),10,11.66666667,3000,-1,6,7,,,
70,1P15558,A,ACTIVE,Passenger Elevator (P),10,11.66666667,3000,-1,6,7,,,
71,1P2276,A,ACTIVE,Passenger Elevator (P),10,11.66666667,3000,-1,6,7,,,
72,1P24621,A,ACTIVE,Passenger Elevator (P),10,5.833333333,2000,-1,7,8,,,
73,1P10460,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-1,8,9,,,
74,1P12398,A,ACTIVE,Passenger Elevator (P),10,4.166666667,2000,-1,8,9,,,
75,1P12120,A,ACTIVE,Passenger Elevator (P),10,1.666666667,1800,-1,9,10,,,
76,1P12121,A,ACTIVE,Passenger Elevator (P),10,5.833333333,2000,-1,9,10,,,
77,1P22366,A,ACTIVE,Passenger Elevator (P),10,0.666666667,4500,-1,10,11,,,
78,1P14208,A,ACTIVE,Passenger Elevator (P),10,3.333333333,1750,-1,10,11,,,
79,1P14554,A,ACTIVE,Passenger Elevator (P),10,4.166666667,2500,-1,10,11,,,
80,1P14571,A,ACTIVE,Passenger Elevator (P),10,5.833333333,3500,-1,10,11,,,
81,1P19185,A,ACTIVE,Passenger Elevator (P),10,5.833333333,2000,-1,10,11,,,
82,1P19339,A,ACTIVE,Passenger Elevator (P),10,5.833333333,2000,-1,10,11,,,
83,1P19828,A,ACTIVE,Passenger Elevator (P),10,7.5,3500,-1,10,11,,,
84,1P19184,A,ACTIVE,Passenger Elevator (P),10,8.333333333,2000,-1,10,11,,,
85,1P19340,A,ACTIVE,Passenger Elevator (P),10,8.333333333,2000,-1,10,11,,,
86,1P19827,A,ACTIVE,Passenger Elevator (P),10,10,3500,-1,10,11,,,
87,1P19337,A,ACTIVE,Passenger Elevator (P),10,11.66666667,2000,-1,10,11,,,
88,1P17427,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-1,11,12,,,
89,1P25175,A,ACTIVE,Passenger Elevator (P),10,5.833333333,2000,-1,11,12,,,
90,1P12665,A,ACTIVE,Passenger Elevator (P),10,6.666666667,2000,-1,11,12,,,
91,1P1720,A,ACTIVE,Passenger Elevator (P),10,8.333333333,1500,-1,11,12,,,
92,1P2355,A,ACTIVE,Passenger Elevator (P),10,3.333333333,1000,-1,12,13,,,
93,1P17604,A,ACTIVE,Passenger Elevator (P),10,3.333333333,1850,-1,13,14,,,
94,1P17606,A,ACTIVE,Passenger Elevator (P),10,0.666666667,2000,-1,14,15,,,
95,1P21797,A,ACTIVE,Passenger Elevator (P),10,1.666666667,2000,-1,14,15,,,
96,1P21778,A,ACTIVE,Passenger Elevator (P),11,8.333333333,2000,-1,14,15,,,
97,1P21779,A,ACTIVE,Passenger Elevator (P),11,8.333333333,2000,-1,14,15,,,
98,1P21792,A,ACTIVE,Passenger Elevator (P),11,16.66666667,2000,-1,14,15,,,
99,1P21793,A,ACTIVE,Passenger Elevator (P),11,16.66666667,2000,-1,14,15,,,
100,1P21794,A,ACTIVE,Passenger Elevator (P),11,16.66666667,2000,-1,14,15,,,
101,1P21795,A,ACTIVE,Passenger Elevator (P),11,16.66666667,2000,-1,14,15,,,
102,1P21796,A,ACTIVE,Passenger Elevator (P),11,16.66666667,2000,-1,14,15,,,
103,1P20330,A,ACTIVE,Passenger Elevator (P),11,0.666666667,4000,-1,15,16,,,
104,1P17477,A,ACTIVE,Passenger Elevator (P),11,1.666666667,2000,-1,15,16,,,
105,1P20329,A,ACTIVE,Passenger Elevator (P),11,2.083333333,4000,-1,15,16,,,
106,1P11741,A,ACTIVE,Passenger Elevator (P),11,3.333333333,3000,-1,15,16,,,
107,1P12308,A,ACTIVE,Passenger Elevator (P),11,5.833333333,2000,-1,15,16,,,
108,1P20328,A,ACTIVE,Passenger Elevator (P),11,6.666666667,4000,-1,15,16,,,
